Date,Symbol,Return,,Date,Symbol,Return,,Alpha,,,,,
8/19/99,BBY,-0.013537906,,8/19/99,SPY,-0.008182965,,-0.004226358,,,,,
8/20/99,BBY,0.063129003,,8/20/99,SPY,0.010136381,,0.051594626,,,,,
8/23/99,BBY,-0.027538726,,8/23/99,SPY,0.019136529,,-0.04931454,,Variance(BBY),0.000152306,,r_stock = beta * r_market + alpha
8/24/99,BBY,-0.000884956,,8/24/99,SPY,0.003663844,,-0.005054112,,"Covariance(BBY, SPY)",0.000173312,,alpha = r_stock - beta * r_market
8/25/99,BBY,0.058458813,,8/25/99,SPY,0.01026728,,0.046775484,,Beta,1.137918629,,
8/26/99,BBY,-0.012552301,,8/26/99,SPY,-0.011969619,,0.001068151,,,,,
8/27/99,BBY,-0.016949153,,8/27/99,SPY,-0.012113953,,-0.003164459,,"getRets(symbol, date, horizon=1, subtract=1)",,,
8/30/99,BBY,-0.030172414,,8/30/99,SPY,-0.018509949,,-0.009109598,,"Look for row containing (symbol, date)",,,
8/31/99,BBY,0.000888889,,8/31/99,SPY,-0.003771806,,0.005180897,,"Get rows containing (symbol, date), (symbol, date+1), ... (symbol, date + horizon - 1)",,,
9/1/99,BBY,0.022202487,,9/1/99,SPY,0.01230478,,0.008200648,,if(subtract): return alphas,,,
9/2/99,BBY,-0.145960035,,9/2/99,SPY,-0.01180515,,-0.132526735,,else: return returns,,,
9/3/99,BBY,-0.039674466,,9/3/99,SPY,0.029213727,,-0.07291731,,,,,
9/7/99,BBY,-0.051906847,,9/7/99,SPY,-0.003677317,,-0.04772236,,"getTotalRet(symbol, date, horizon=1, subtract=1)",,,
9/8/99,BBY,0.016759849,,9/8/99,SPY,-0.004843953,,0.022271873,,// Is getTotalRet meaningless for alphas?,,,
9/9/99,BBY,0.046153846,,9/9/99,SPY,-0.000463607,,0.046681393,,"rets = getRets(symbol, date, horizon, subtract)",,,
9/10/99,BBY,-0.002100773,,9/10/99,SPY,0.008348794,,-0.011601021,,return product([1 + ret for ret in rets]),,,
9/13/99,BBY,0.018947367,,9/13/99,SPY,-0.006784957,,0.026668096,,,,,
9/14/99,BBY,-0.095041382,,9/14/99,SPY,-0.006599286,,-0.087531932,,"rets = [5, 3, 2, -3, 6]",,,
9/15/99,BBY,-0.00456621,,9/15/99,SPY,-0.015850816,,0.013470729,,Assert(1000 * (1+avg(rets)) ** n != 1000 * getTotalRet(n)) ,,,
9/16/99,BBY,0.01146789,,9/16/99,SPY,0.003907865,,0.007021057,,,,,
9/17/99,BBY,0.020408163,,9/17/99,SPY,0.009791436,,0.009266306,,,,,
9/20/99,BBY,0.054444373,,9/20/99,SPY,-0.001401869,,0.056039586,,,,,
9/21/99,BBY,0.01580618,,9/21/99,SPY,-0.021057557,,0.039767967,,,,,
9/22/99,BBY,-0.008298755,,9/22/99,SPY,-0.001076107,,-0.007074233,,,,,
9/23/99,BBY,-0.029288703,,9/23/99,SPY,-0.020934949,,-0.005466435,,,,,
9/24/99,BBY,-0.021551724,,9/24/99,SPY,-0.000977517,,-0.020439389,,,,,
9/27/99,BBY,0.026431789,,9/27/99,SPY,0.006604337,,0.018916591,,,,,
9/28/99,BBY,-0.007510798,,9/28/99,SPY,-0.001944108,,-0.005298561,,,,,
9/29/99,BBY,0.022702703,,9/29/99,SPY,-0.011930496,,0.036278636,,,,,
9/30/99,BBY,0.048625793,,9/30/99,SPY,0.015278462,,0.031240146,,,,,
10/1/99,BBY,-0.016129097,,10/1/99,SPY,-0.002184823,,-0.013642946,,,,,
10/4/99,BBY,-0.001024525,,10/4/99,SPY,0.017757601,,-0.02123123,,,,,
10/5/99,BBY,0.005128205,,10/5/99,SPY,-0.000956023,,0.006216081,,,,,
10/6/99,BBY,0.048979592,,10/6/99,SPY,0.015311005,,0.031556914,,,,,
10/7/99,BBY,0.032101167,,10/7/99,SPY,-0.005655042,,0.038536145,,,,,
10/8/99,BBY,0.014137606,,10/8/99,SPY,0.015165877,,-0.003119928,,,,,
10/11/99,BBY,-0.007434944,,10/11/99,SPY,-0.001634331,,-0.005575209,,,,,
10/12/99,BBY,-0.004681648,,10/12/99,SPY,-0.015431382,,0.01287801,,,,,
10/13/99,BBY,-0.022577611,,10/13/99,SPY,-0.025884247,,0.006876557,,,,,
10/14/99,BBY,-0.029836381,,10/14/99,SPY,-0.000244142,,-0.029558567,,,,,
10/15/99,BBY,-0.01984127,,10/15/99,SPY,-0.025603162,,0.009293045,,,,,
10/18/99,BBY,-0.04048583,,10/18/99,SPY,0.007256833,,-0.048743515,,,,,
10/19/99,BBY,-0.01687757,,10/19/99,SPY,0.009689866,,-0.027903849,,,,,
10/20/99,BBY,-0.017167449,,10/20/99,SPY,0.00984252,,-0.028367436,,,,,
10/21/99,BBY,0.017467319,,10/21/99,SPY,0.005847953,,0.010812824,,,,,
10/22/99,BBY,0.018240205,,10/22/99,SPY,0.008478326,,0.00859256,,,,,
10/25/99,BBY,-0.027397127,,10/25/99,SPY,-0.005044087,,-0.021657366,,,,,
10/26/99,BBY,-0.095341341,,10/26/99,SPY,-0.012554322,,-0.081055545,,,,,
10/27/99,BBY,-0.02754491,,10/27/99,SPY,0.01809291,,-0.048133169,,,,,
10/28/99,BBY,0.065270936,,10/28/99,SPY,0.034101825,,0.026465834,,,,,
10/29/99,BBY,0.031213873,,10/29/99,SPY,0.018114259,,0.01060132,,,,,
11/1/99,BBY,-0.075112108,,11/1/99,SPY,-0.010492701,,-0.063172268,,,,,
11/2/99,BBY,-0.013333411,,11/2/99,SPY,-0.00714649,,-0.005201287,,,,,
11/3/99,BBY,0.014742095,,11/3/99,SPY,0.006733569,,0.007079841,,,,,
11/4/99,BBY,0.007263845,,11/4/99,SPY,0.007610362,,-0.001396127,,,,,
11/5/99,BBY,-0.026442233,,11/5/99,SPY,0.009842409,,-0.037642094,,,,,
11/8/99,BBY,-0.032098765,,11/8/99,SPY,0.000906618,,-0.033130423,,,,,
11/9/99,BBY,-0.010204082,,11/9/99,SPY,-0.00939787,,0.000489929,,,,,
11/10/99,BBY,0,,11/10/99,SPY,0.007429312,,-0.008453953,,,,,
11/11/99,BBY,0.121134021,,11/11/99,SPY,0.005673129,,0.114678461,,,,,
11/12/99,BBY,-0.029885057,,11/12/99,SPY,0.009025271,,-0.040155081,,,,,
11/15/99,BBY,-0.0130331,,11/15/99,SPY,0.002347721,,-0.015704615,,,,,
11/16/99,BBY,0.006002324,,11/16/99,SPY,0.00836609,,-0.003517606,,,,,
11/17/99,BBY,-0.023866348,,11/17/99,SPY,0.002654867,,-0.026887371,,,,,
11/18/99,BBY,-0.026894944,,11/18/99,SPY,0.0070609,,-0.034929674,,,,,
11/19/99,BBY,0.010050332,,11/19/99,SPY,-0.000876424,,0.011047632,,,,,
11/22/99,BBY,0.024875701,,11/22/99,SPY,-0.000219621,,0.025125612,,,,,
11/23/99,BBY,0.048543608,,11/23/99,SPY,-0.008773857,,0.058527543,,,,,
11/24/99,BBY,0.028935185,,11/24/99,SPY,0.005310911,,0.0228918,,,,,
11/26/99,BBY,0.041619798,,11/26/99,SPY,-0.003741698,,0.045877545,,,,,
11/29/99,BBY,0.151187905,,11/29/99,SPY,-0.00353513,,0.155210596,,,,,
11/30/99,BBY,-0.061913696,,11/30/99,SPY,-0.011751989,,-0.048540888,,,,,
12/1/99,BBY,0.064,,12/1/99,SPY,0.008077185,,0.054808821,,,,,
12/2/99,BBY,-0.067669173,,12/2/99,SPY,0.006009677,,-0.074507697,,,,,
12/3/99,BBY,-0.088709742,,12/3/99,SPY,0.018362506,,-0.10960478,,,,,
12/6/99,BBY,-0.061946836,,12/6/99,SPY,-0.007386489,,-0.053541612,,,,,
12/7/99,BBY,-0.041273585,,12/7/99,SPY,-0.008097733,,-0.032059024,,,,,
12/8/99,BBY,-0.062730627,,12/8/99,SPY,-0.006399266,,-0.055448784,,,,,
12/9/99,BBY,-0.081364829,,12/9/99,SPY,0.004885633,,-0.086924283,,,,,
12/10/99,BBY,0.100000091,,12/10/99,SPY,0.003315244,,0.096227614,,,,,
12/13/99,BBY,0.071428482,,12/13/99,SPY,0.001762115,,0.069423339,,,,,
12/14/99,BBY,-0.04969697,,12/14/99,SPY,-0.009674582,,-0.038688082,,,,,
12/15/99,BBY,-0.035714286,,12/15/99,SPY,0.005328597,,-0.041777795,,,,,
12/16/99,BBY,0.067460317,,12/16/99,SPY,0.004416961,,0.062434175,,,,,
